Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(2),C2H5(3),C(6),H(4),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C4H7(28),C4H7(38)
0.0001967651872220637,0.16969890730578688,0.0,0.0,0.0,0.0,0.32837152169221878,0.00029102556012297598,0.00022437573227968464,0.021531049332481785,6.1326522495730142e-05,0.30558492570439083,0.32758948982471098,1.9214939274686993e-07,7.7773831196213111e-06,0.016338168578739886,1.4692907580439104e-07,5.9097106739150929e-10
0.00019846650712741513,0.17004484184630914,0.0,0.0,0.0,0.0,0.32581367030621217,0.00028926569004248472,0.00022419729463606713,0.021652011372259472,6.1174490638103273e-05,0.30654387004379613,0.32887565408194486,1.9158677683305732e-07,7.8361654496783607e-06,0.016531979866564916,1.4850437217926962e-07,5.973071488047144e-10
0.00020016782703276655,0.17038822414958926,0.0,0.0,0.0,0.0,0.3232868068414777,0.00028752680200837581,0.00022401106721297697,0.021772114059596483,6.10226897964961e-05,0.30748769321115682,0.33014690603456071,1.9102141458398315e-07,7.8944788933479958e-06,0.016725683119933471,1.5007034322190971e-07,6.0360572231479195e-10
0.00020186914693811798,0.17072907774518087,0.0,0.0,0.0,0.0,0.32079043211336267,0.00028580853479942759,0.00022381729343507557,0.021891366686347672,6.087113924353497e-05,0.30841665572217281,0.33140348399316666,1.9045352513066949e-07,7.9523254733578084e-06,0.016919269501694721,1.5162691252086452e-07,6.0986648058322325e-10
0.0002035704668434694,0.17106742602872474,0.0,0.0,0.0,0.0,0.31832405646684531,0.00028411053501159862,0.00022361621000414474,0.022009778424420048,6.0719857032695618e-05,0.30933101293988602,0.33264562173193857,1.8988331876630012e-07,8.0097073529014151e-06,0.017112730454092631,1.5317400826561613e-07,6.160891347772153e-10
0.00020527178674882083,0.17140329222998033,0.0,0.0,0.0,0.0,0.31588719959514067,0.00028243245706699297,0.00022340804712896601,0.02212735832710019,6.0568860062442638e-05,0.31023101517618973,0.33387354857442841,1.8931099724019634e-07,8.0666268599447442e-06,0.017306057691190264,1.5471156173841337e-07,6.2227340850352466e-10
0.00020697310665417225,0.17173669939047093,0.0,0.0,0.0,0.0,0.31347939037455552,0.00028077396297990893,0.00022319302848468835,0.022244115328757447,6.0418164724677126e-05,0.31111690778989393,0.33508748947089817,1.887367547317964e-07,8.1230862399319437e-06,0.01749924318877874,1.5623951327740798e-07,6.2841906179313053e-10
0.00020867442655952368,0.1720676704137633,0.0,0.0,0.0,0.0,0.31110016666217516,0.00027913472189584947,0.0002229713714237491,0.022360058246842496,6.0267786618918871e-05,0.31198893129770627,0.33628766509495472,1.8816077748088922e-07,8.1790877745056262e-06,0.017692279177497973,1.5775780701336239e-07,6.3452586993143747e-10
0.0002103757464648751,0.1723962280304302,0.0,0.0,0.0,0.0,0.30874907512211403,0.00027751441018745553,0.00022274328757530734,0.022475195783530459,6.011773997056708e-05,0.31284732146987437,0.33747429192621436,1.8758324405672347e-07,8.2346340211776994e-06,0.017885158136286487,1.5926638807137539e-07,6.405936122032816e-10
0.00021207706637022653,0.1727223947749525,0.0,0.0,0.0,0.0,0.30642567103418822,0.00027591271097434229,0.00022250898198620836,0.022589536526303459,5.9968039199951064e-05,0.31369230943972937,0.33864758234040171,1.8700432626613772e-07,8.2897271880519887e-06,0.01807787278386665,1.6076521363637874e-07,6.4662211639987011e-10
0.00021360825428504282,0.1730139191568093,0.0,0.0,0.0,0.0,0.30435791938020895,0.00027448683896934755,0.00022229295276842274,0.022691768942002481,5.983361470305569e-05,0.31444152709645479,0.33969231335932987,1.8648225275605526e-07,8.3389258512863003e-06,0.018251169649667089,1.6210577789851155e-07,6.5201406958580434e-10
0.0002151394421998591,0.17330354126198083,0.0,0.0,0.0,0.0,0.30231192879541163,0.00027307557066185632,0.00022207218787742843,0.022793368919942762,5.9699489573764963e-05,0.31518023465081901,0.34072655983973393,1.8595930669613864e-07,8.3877615827195377e-06,0.018424322729342722,1.6343837338245966e-07,6.5737397113502775e-10
0.0002166706301146754,0.17359127714391773,0.0,0.0,0.0,0.0,0.3002873923201182,0.00027167868888406603,0.00022184682529461492,0.022894342487814353,5.9565672870099086e-05,0.31590859133058313,0.34175046839032103,1.8543559979921934e-07,8.4362360732039711e-06,0.018597327186761353,1.6476297850151207e-07,6.6270173422248918e-10
0.00021820181802949167,0.17387714275962304,0.0,0.0,0.0,0.0,0.29828400822042284,0.00027029598045992087,0.00022161699980056444,0.022994695601556002,5.9432172659696988e-05,0.3166267535582134,0.34276418313056478,1.8491123911164519e-07,8.4843512612230337e-06,0.01877017832625576,1.6607956937415871e-07,6.67997262793158e-10
0.00021973300594430796,0.1741611539494381,0.0,0.0,0.0,0.0,0.29630147989836358,0.00026892723631777527,0.00022138284272740885,0.023094434146000882,5.9298996611610668e-05,0.31733487500093066,0.34376784573296576,1.843863276774387e-07,8.5321091034958443e-06,0.018942871589266688,1.6738812409139953e-07,6.7326046872567516e-10
0.00022126419385912424,0.17444332641021662,0.0,0.0,0.0,0.0,0.29433951581436607,0.00026757225164089724,0.00022114448228034478,0.023193563935566725,5.9166152024936357e-05,0.31803310661410439,0.34476159545942764,1.8386096546382684e-07,8.5795115830663929e-06,0.019115402550924476,1.6868862472577549e-07,6.7849127991310335e-10
0.00022279538177394053,0.17472367572416198,0.0,0.0,0.0,0.0,0.29239782936917963,0.00026623082524520529,0.0002209020431495514,0.023292090715274019,5.9033646332602207e-05,0.31872159670644179,0.34574556921761584,1.8333524835249238e-07,8.6265604910223655e-06,0.019287766916274148,1.699810581510284e-07,6.8368964355956982e-10
0.00022432656968875681,0.1750022173675746,0.0,0.0,0.0,0.0,0.290476138818688,0.00026490275965542073,0.00022065564726401083,0.023390020161434037,5.8901485851257057e-05,0.31940049098697393,0.34671990160204263,1.8280926856448631e-07,8.6732579313357609e-06,0.019459960516626088,1.7126540924082676e-07,6.8885549882474597e-10
0.0002258577576035731,0.17527896668137252,0.0,0.0,0.0,0.0,0.28857416730936936,0.00026358786133014601,0.00022040541306536982,0.023487357887193017,5.8769676886459134e-05,0.3200699325212048,0.34768472487979118,1.8228311514500832e-07,8.7196058763084767e-06,0.019631979326513047,1.7254166637160406e-07,6.9398879895683212e-10
0.00022738894551838939,0.17555393884281278,0.0,0.0,0.0,0.0,0.28669164249609413,0.00026228594005245885,0.00022015145628054227,0.023584109432555889,5.8638225670869371e-05,0.32073006199820753,0.34864016916465995,1.8175687378541683e-07,8.7656062274261383e-06,0.019803819414465181,1.7380982267238133e-07,6.9908951631969162e-10
0.00022892013343320567,0.17582714908984012,0.0,0.0,0.0,0.0,0.28482829649394498,0.00026099680918675975,0.00021989389016689558,0.023680280266134463,5.8507137640840641e-05,0.32138101775123584,0.34958636244121005,1.8123062595531791e-07,8.8112611392020398e-06,0.019975476944687331,1.7506987008656361e-07,7.0415761850850239e-10
0.00023045132134802196,0.1760986120703127,0.0,0.0,0.0,0.0,0.28298386623636318,0.00025972028551504359,0.00021963282425305745,0.023775875803481575,5.8376418562467101e-05,0.32202293547017968,0.35052343040648215,1.80704453950612e-07,8.8565723443205813e-06,0.020146948247366757,1.7632180466202053e-07,7.0919308962716149e-10
0.00023198250926283824,0.17636834293834713,0.0,0.0,0.0,0.0,0.28115809292960742,0.0002584561894151942,0.00021936836607653573,0.023870901389518671,5.8246072948260887e-05,0.32265594859683561,0.3514514967167402,1.8017843129817192e-07,8.9015421870915525e-06,0.020318229738422296,1.7756562152298585e-07,7.1419591006462602e-10
0.0002333605783861729,0.17660963185475825,0.0,0.0,0.0,0.0,0.27953063817861989,0.00025732898259946525,0.00021912753983415942,0.02395594147225456,5.8129085424381278e-05,0.32321815546047022,0.35227916054798836,1.797052004556588e-07,8.9417247402340189e-06,0.020472217906081013,1.7867811668494041e-07,7.186705346718174e-10
0.00023473864750950753,0.17684954033255026,0.0,0.0,0.0,0.0,0.27791790672654237,0.00025621157279173565,0.0002188841251449547,0.024040527975011008,5.8012407760972895e-05,0.32377334995175078,0.35309971883646013,1.7923220224316023e-07,8.9816338577911322e-06,0.020626047031322012,1.7978403735545223e-07,7.2311871567540077e-10
0.00023611671663284218,0.17708807877300095,0.0,0.0,0.0,0.0,0.27631971879492745,0.00025510383555387036,0.00021863819461036832,0.024124664664357833,5.7896043238594328e-05,0.32432162460525044,0.35391325749446689,1.7875948803371365e-07,9.0212709083084075e-06,0.020779714726272141,1.8088338557401892e-07,7.2754046127852482e-10
0.00023749478575617683,0.1773252576370547,0.0,0.0,0.0,0.0,0.27473589737414555,0.00025400564870187121,0.00021838981944258745,0.024208355268474032,5.7779994531278739e-05,0.32486307046793328,0.35471986111595738,1.7828710521266758e-07,9.060637530769829e-06,0.020933218678081289,1.8197616091679576e-07,7.3193576977644982e-10
0.00023887285487951147,0.17756108750066996,0.0,0.0,0.0,0.0,0.27316626800717397,0.00025291689206815855,0.00021813906921968677,0.024291603472004476,5.7664264484568553e-05,0.32539777724800512,0.35551961307502589,1.7781509995445501e-07,9.0997352353904927e-06,0.021086556623009099,1.8306236911635196e-07,7.3630466422640656e-10
0.00024025092400284612,0.17779557866830717,0.0,0.0,0.0,0.0,0.27161065877456825,0.00025183744727813904,0.0002178860119427913,0.02437441291802029,5.7548855914721516e-05,0.32592583331551067,0.35631259553437816,1.7734351742472468e-07,9.1385654495230941e-06,0.021239726350756341,1.8414201658872142e-07,7.4064717043466638e-10
0.00024162899312618076,0.17802874125961152,0.0,0.0,0.0,0.0,0.27006890039341541,0.00025076719799697943,0.00021763071428199086,0.024456787212617497,5.7433771083598384e-05,0.32644732562474471,0.35709888940150053,1.7687240155347692e-07,9.1771297722678189e-06,0.021392725722116916,1.8521510541516197e-07,7.4496329677237526e-10
0.0002430070622495154,0.17826058536950154,0.0,0.0,0.0,0.0,0.26854082617498454,0.00024970602959761791,0.00021737324094958608,0.0245387299259783,5.7319012637366486e-05,0.32696233973443395,0.35787857434910475,1.7640179450287548e-07,9.2154295569508605e-06,0.021545552670064277,1.8628164514988098e-07,7.4925308166797759e-10
0.00024438513137285006,0.1784911212502665,0.0,0.0,0.0,0.0,0.26702627182405075,0.00024865382937398734,0.0002171136555473297,0.024620244587411137,5.7204582620140578e-05,0.32747095994738395,0.3586517289066678,1.7593173577656924e-07,9.2534664151065604e-06,0.021698205173634105,1.8734164327854214e-07,7.5351655522996837e-10
0.00024576320049618473,0.17872035889906382,0.0,0.0,0.0,0.0,0.26552507542764509,0.00024761048654603539,0.00021685202036687853,0.024701334686602534,5.7090482954217766e-05,0.32797326931194815,0.35941843046614141,1.7546226429068275e-07,9.291241936915705e-06,0.02185068126073449,1.8839510624590497e-07,7.5775374338015188e-10
0.0002471412696195194,0.17894830800893705,0.0,0.0,0.0,0.0,0.2640370775873413,0.00024657589209287669,0.00021658839607408941,0.024782003679519656,5.697671577440938e-05,0.32846934951883039,0.36017875522326048,1.7499341905649479e-07,9.3287575170180235e-06,0.022002979032162109,1.894420439503638e-07,7.6196468593135988e-10
0.0002485193387428541,0.179174978611165,0.0,0.0,0.0,0.0,0.26256212120161665,0.00024554993862343941,0.0002163228420304407,0.024862254983784277,5.6863282909418949e-05,0.32895928104934358,0.36093277827737424,1.7452523526019125e-07,9.3660146937931519e-06,0.022155096635771282,1.9048246816629753e-07,7.6614943024192834e-10
0.00024989740786618875,0.1794003804726465,0.0,0.0,0.0,0.0,0.2611000514305416,0.00024453252052540495,0.00021605541645308541,0.024942091978937535,5.6750185897435192e-05,0.32944314319519058,0.36168057364799172,1.7405774776928333e-07,9.4030150659626745e-06,0.022307032264953043,1.9151638784703814e-07,7.7030801232353899e-10
0.0002512754769895234,0.17962452313721836,0.0,0.0,0.0,0.0,0.25965071575566806,0.00024352353368053045,0.00021578617588621644,0.025021518010141495,5.6637426643816535e-05,0.32992101400683027,0.36242221424894611,1.7359099113136576e-07,9.4397599586114303e-06,0.022458784172995933,1.925438174215682e-07,7.7444049021170941e-10
0.0002526535461128581,0.17984741615084004,0.0,0.0,0.0,0.0,0.25821396398596069,0.00024252287591702552,0.00021551517605962199,0.025100536389064915,5.6525006215745432e-05,0.33039297028685238,0.36315777188607329,1.7312499786883166e-07,9.476251077447721e-06,0.022610350674469305,1.9356476480220864e-07,7.7854689573105632e-10
0.00025403161523619277,0.18006906920169713,0.0,0.0,0.0,0.0,0.25678964804750914,0.00024153044663899342,0.00021524247121665867,0.02517915038993979,5.6412926095651664e-05,0.33085908773109729,0.36388731735329083,1.7265979856624028e-07,9.5124899152636931e-06,0.022761730122625085,1.9457924542473715e-07,7.8262729096656948e-10
0.00025540968435952744,0.18028949171111094,0.0,0.0,0.0,0.0,0.25537762196026664,0.00024054614659951878,0.00021496811434466688,0.025257363250806467,5.6301187797615981e-05,0.33131944093694093,0.36461092044464244,1.721954237747328e-07,9.5484778538413648e-06,0.022912920911366309,1.9558727603353635e-07,7.8668174326671068e-10
0.0002567877534828621,0.1805086928399545,0.0,0.0,0.0,0.0,0.2539777419870492,0.00023956987819075381,0.00021469215741957528,0.025335178178315029,5.6189792265670691e-05,0.33177410329426466,0.36532864988744146,1.7173190313697535e-07,9.5842164703406016e-06,0.023063921497102964,1.9658886698109881e-07,7.9071029427079275e-10
0.0002581658226061968,0.18072668205794704,0.0,0.0,0.0,0.0,0.25258986643570353,0.0002386015454242797,0.0002144146511883796,0.025412598343919648,5.607874052293586e-05,0.33222314711940387,0.36604057343230012,1.7126926389104581e-07,9.6197073214469939e-06,0.023214730376204216,1.9758403475128855e-07,7.9471301027940177e-10
0.00025954389172953146,0.1809434685716301,0.0,0.0,0.0,0.0,0.25121385560870996,0.00023764105367461339,0.00021413564519270502,0.025489626884252676,5.5968033730324777e-05,0.33266664368323257,0.36674675787718441,1.7080753308186484e-07,9.6549518170352577e-06,0.023365346083185669,1.9857279704101468e-07,7.9868996247219903e-10
0.00026092196085286614,0.18115906139170707,0.0,0.0,0.0,0.0,0.2498495718974241,0.00023668831000137749,0.00021385518820283834,0.025566266904206603,5.5857672455890841e-05,0.33310466314225079,0.36744726902510066,1.703467371193501e-07,9.6899516033994542e-06,0.023515767204210045,1.9955516601750662e-07,8.0264119978764878e-10
0.0002623000299762008,0.18137346958467657,0.0,0.0,0.0,0.0,0.24849687967177639,0.00023574322237552569,0.00021357332711687736,0.025642521476561542,5.5747658206843853e-05,0.33353727460459809,0.36814217173585434,1.6988690091590263e-07,9.7247078078336002e-06,0.023665992371068419,2.0053116635289561e-07,8.065668214607433e-10
0.000263540292187202,0.1815654314674382,0.0,0.0,0.0,0.0,0.24728925690613074,0.00023489911505114719,0.0002133184905616404,0.025710823547923624,5.5648941779194438e-05,0.33392205734457975,0.36876284179842256,1.6947388892290729e-07,9.7557818052027778e-06,0.023801026385652766,2.0140412660199211e-07,8.1007800024774488e-10
0.00026465652817710307,0.18173738841294762,0.0,0.0,0.0,0.0,0.24621025206094685,0.00023414460488050364,0.00021308822504519388,0.025772032390053219,5.556033789345956e-05,0.33426470409654624,0.36931764300662751,1.6910287287646868e-07,9.7835818372945979e-06,0.023922419594676586,2.0218539978353451e-07,8.1322039971520692e-10
0.00026577276416700415,0.18190858400482307,0.0,0.0,0.0,0.0,0.2451386176123658,0.00023339495975273757,0.00021285711949148886,0.025832993697618999,5.5471962608677201e-05,0.33460392217247814,0.36986887679932123,1.6873252797708446e-07,9.8112248437027449e-06,0.024043681940120003,2.0296252515418044e-07,8.1634611605694093e-10
